NumA,Silver_thickness_nm,Gold_thickness_nm,Copper_thickness_nm,Aluminum_thickness_nm,Graphene_layers,Sensing_length_mm,n_sens,Resonance_lambda_nm,FWHM_nm,Sensitivity_nm_per_RIU
0.2,39,36,41,38,2,7,1.35,817.39,38.13,10033.44
0.2,41,35,39,40,1,7,1.35,817.39,38.13,9966.56
0.2,36,37,36,41,4,6,1.35,815.38,40.13,10033.44
0.2,40,41,38,41,3,7,1.36,919.73,38.13,9983.28
0.2,40,38,41,37,3,8,1.36,917.73,38.13,9983.28
0.2,36,38,35,35,1,6,1.36,911.71,40.13,9983.28
0.2,37,36,35,40,3,5,1.33,614.72,40.13,10033.44
0.2,42,36,39,39,2,6,1.36,917.73,38.13,9983.28
0.2,36,42,39,36,1,6,1.34,717.06,40.13,10033.44
0.2,39,36,40,39,5,6,1.34,717.06,38.13,10033.44
0.2,38,39,42,39,3,8,1.35,819.4,38.13,10033.44
0.2,39,35,41,39,3,5,1.35,817.39,38.13,10033.44
0.2,39,40,41,40,3,7,1.33,620.74,38.13,10033.44
0.2,37,39,42,42,4,7,1.33,620.74,38.13,10033.44
0.2,37,37,41,39,3,6,1.34,717.06,38.13,10033.44
0.2,36,39,35,42,2,5,1.33,616.72,40.13,10033.44
0.2,35,35,36,36,3,8,1.35,811.37,40.13,10033.44
0.2,37,35,41,40,3,8,1.33,616.72,38.13,10033.44
0.2,42,42,42,36,1,8,1.35,821.4,38.13,10033.44
0.2,42,42,36,36,2,6,1.35,817.39,40.13,9966.56
0.2,35,39,42,42,1,6,1.34,719.06,38.13,10033.44
0.2,41,35,38,40,4,7,1.33,616.72,38.13,10033.44
0.2,37,38,36,42,4,6,1.35,817.39,40.13,10033.44
0.2,35,35,36,39,2,8,1.33,612.71,40.13,10033.44
0.2,41,36,38,40,2,7,1.33,616.72,40.13,9832.78
0.2,40,38,40,38,2,6,1.34,717.06,40.13,9933.11
0.2,35,35,36,35,5,7,1.34,711.04,40.13,10033.44
0.2,39,39,38,36,4,8,1.33,616.72,40.13,10033.44
0.2,39,38,36,39,2,7,1.36,915.72,38.13,9983.28
0.2,35,36,38,38,5,6,1.33,612.71,40.13,9832.78
0.2,35,35,36,37,5,7,1.35,811.37,42.14,9966.56
0.2,39,36,42,35,3,7,1.36,915.72,38.13,9983.28
0.2,35,36,39,38,3,8,1.34,713.04,40.13,9933.11
0.2,42,39,41,41,1,8,1.35,821.4,38.13,9966.56
0.2,35,39,36,38,3,7,1.36,913.71,40.13,9983.28
0.2,42,39,35,36,5,6,1.35,815.38,40.13,9966.56
0.2,37,39,36,35,4,5,1.36,913.71,40.13,9983.28
0.2,36,39,35,36,1,7,1.36,913.71,40.13,10033.44
0.2,41,42,42,36,2,7,1.34,721.07,38.13,10033.44
0.2,38,37,41,37,3,6,1.34,717.06,40.13,10033.44
0.2,36,38,37,41,2,8,1.34,715.05,40.13,9933.11
0.2,35,42,40,39,4,6,1.36,917.73,38.13,9983.28
